Tract_name,id,total,,Hispanic or Latino,,White,,Black or African American,,American Indian and Alaska Native,,Asian,,Native Hawaiian and Other Pacific Islander,,Other Race,,Two or More Races,Non-White,Black or Hispanic
Census Tract 2213,2213,3222,1657,0.5142768,1276,0.3960273,140,0.0434513,4,0.0012415,90,0.0279330,4,0.0012415,4,0.0012415,47,0.0145872,0.6039727,0.5577281
Census Tract 2214,2214,3020,1779,0.5890728,1047,0.3466887,60,0.0198675,4,0.0013245,79,0.0261589,1,0.0003311,13,0.0043046,37,0.0122517,0.6533113,0.6089404
Census Tract 2215,2215,2829,1365,0.4825027,1156,0.4086250,174,0.0615058,5,0.0017674,86,0.0303994,4,0.0014139,7,0.0024744,32,0.0113114,0.5913750,0.5440085
Census Tract 2216,2216,2969,549,0.1849107,2173,0.7318963,67,0.0225665,2,0.0006736,118,0.0397440,0,0.0000000,5,0.0016841,55,0.0185248,0.2681037,0.2074773
Census Tract 2222,2222,1912,278,0.1453975,1445,0.7557531,42,0.0219665,4,0.0020921,109,0.0570084,0,0.0000000,4,0.0020921,30,0.0156904,0.2442469,0.1673640
Census Tract 2225,2225,1410,895,0.6347518,373,0.2645390,112,0.0794326,3,0.0021277,18,0.0127660,0,0.0000000,1,0.0007092,8,0.0056738,0.7354610,0.7141844
Census Tract 2226,2226,1602,803,0.5012484,558,0.3483146,177,0.1104869,7,0.0043695,22,0.0137328,0,0.0000000,2,0.0012484,33,0.0205993,0.6516854,0.6117353
Census Tract 2227,2227,2235,1488,0.6657718,418,0.1870246,296,0.1324385,3,0.0013423,12,0.0053691,0,0.0000000,1,0.0004474,17,0.0076063,0.8129754,0.7982103
Census Tract 2228,2228,1074,829,0.7718808,89,0.0828678,128,0.1191806,0,0.0000000,3,0.0027933,0,0.0000000,11,0.0102421,14,0.0130354,0.9171322,0.8910615
Census Tract 2229,2229,1244,1068,0.8585209,78,0.0627010,79,0.0635048,1,0.0008039,15,0.0120579,0,0.0000000,1,0.0008039,2,0.0016077,0.9372990,0.9220257
Census Tract 2301,2301,1623,1038,0.6395564,276,0.1700555,265,0.1632779,1,0.0006161,21,0.0129390,0,0.0000000,0,0.0000000,22,0.0135551,0.8299445,0.8028343
Census Tract 2302,2302,2107,1684,0.7992406,157,0.0745135,237,0.1124822,1,0.0004746,11,0.0052207,2,0.0009492,1,0.0004746,14,0.0066445,0.9254865,0.9117228
Census Tract 2303,2303,1024,906,0.8847656,43,0.0419922,62,0.0605469,2,0.0019531,3,0.0029297,0,0.0000000,0,0.0000000,8,0.0078125,0.9580078,0.9453125
Census Tract 2304,2304,2609,2329,0.8926792,135,0.0517440,104,0.0398620,4,0.0015332,15,0.0057493,1,0.0003833,5,0.0019164,16,0.0061326,0.9482560,0.9325412
Census Tract 2305,2305,3570,3130,0.8767507,81,0.0226891,319,0.0893557,2,0.0005602,23,0.0064426,0,0.0000000,2,0.0005602,13,0.0036415,0.9773109,0.9661064
Census Tract 2306,2306,6818,4297,0.6302435,196,0.0287474,2255,0.3307422,4,0.0005867,9,0.0013200,18,0.0026401,7,0.0010267,32,0.0046935,0.9712526,0.9609856
Census Tract 2307,2307,6364,5199,0.8169390,218,0.0342552,855,0.1343495,13,0.0020427,34,0.0053426,1,0.0001571,10,0.0015713,34,0.0053426,0.9657448,0.9512885
Census Tract 2308,2308,1314,1148,0.8736682,85,0.0646880,64,0.0487062,0,0.0000000,10,0.0076104,0,0.0000000,3,0.0022831,4,0.0030441,0.9353120,0.9223744
Census Tract 2309,2309,5399,3640,0.6741989,622,0.1152065,1025,0.1898500,11,0.0020374,33,0.0061122,1,0.0001852,16,0.0029635,51,0.0094462,0.8847935,0.8640489
Census Tract 2311,2311,1236,322,0.2605178,18,0.0145631,887,0.7176375,0,0.0000000,1,0.0008091,0,0.0000000,0,0.0000000,8,0.0064725,0.9854369,0.9781553
Census Tract 2312,2312,6095,1665,0.2731747,96,0.0157506,4290,0.7038556,6,0.0009844,0,0.0000000,0,0.0000000,6,0.0009844,32,0.0052502,0.9842494,0.9770304
Census Tract 2315,2315,6039,393,0.0650770,90,0.0149031,5485,0.9082630,5,0.0008280,7,0.0011591,0,0.0000000,5,0.0008280,54,0.0089419,0.9850969,0.9733400
Census Tract 2402,2402,1452,213,0.1466942,1085,0.7472452,34,0.0234160,0,0.0000000,88,0.0606061,0,0.0000000,0,0.0000000,32,0.0220386,0.2527548,0.1701102
